modello,reg,lambda,tr acc,val acc
"[33, 32, 32, 1]",none,none,85.72536850271528,82.51748251748252
"[33, 32, 32, 1]",L1,0.001,85.72536850271528,82.51748251748252
"[33, 32, 64, 1]",L1,0.001,85.72536850271528,83.21678321678321
"[33, 64, 32, 1]",L1,0.001,85.80294802172227,82.98368298368298
"[33, 64, 64, 1]",L1,0.001,86.26842513576416,84.14918414918415
"[33, 128, 256, 1]",L1,0.001,92.31962761830876,85.3146853146853
"[33, 256, 128, 1]",L1,0.001,92.6299456943367,85.08158508158508
"[33, 128, 128, 1]",L1,0.001,90.8456167571761,85.3146853146853
"[33, 32, 32, 1]",L1,0.1,86.03568657874321,82.51748251748252
"[33, 32, 64, 1]",L1,0.1,85.64778898370831,83.44988344988346
"[33, 64, 32, 1]",L1,0.1,85.57020946470132,82.98368298368298
"[33, 64, 64, 1]",L1,0.1,86.26842513576416,83.68298368298368
"[33, 128, 256, 1]",L1,0.1,91.62141194724592,84.84848484848484
"[33, 256, 128, 1]",L1,0.1,91.85415050426687,85.78088578088578
"[33, 128, 128, 1]",L1,0.1,90.22498060512025,85.78088578088578
"[33, 32, 32, 1]",L1,0.5,64.85647788983708,65.03496503496503
"[33, 32, 64, 1]",L1,0.5,64.85647788983708,65.03496503496503
"[33, 64, 32, 1]",L1,0.5,64.85647788983708,65.03496503496503
"[33, 64, 64, 1]",L1,0.5,82.93250581846394,79.95337995337995
"[33, 128, 256, 1]",L1,0.5,89.29402637703646,84.61538461538461
"[33, 256, 128, 1]",L1,0.5,85.64778898370831,82.05128205128204
"[33, 128, 128, 1]",L1,0.5,87.89759503491078,82.51748251748252
"[33, 32, 32, 1]",L1,1,64.85647788983708,65.03496503496503
"[33, 32, 64, 1]",L1,1,64.85647788983708,65.03496503496503
"[33, 64, 32, 1]",L1,1,64.85647788983708,65.03496503496503
"[33, 64, 64, 1]",L1,1,64.85647788983708,65.03496503496503
"[33, 128, 256, 1]",L1,1,64.85647788983708,65.03496503496503
"[33, 256, 128, 1]",L1,1,64.85647788983708,65.03496503496503
"[33, 128, 128, 1]",L1,1,83.4755624515128,79.95337995337995
"[33, 32, 32, 1]",L2,0.001,85.72536850271528,82.51748251748252
"[33, 32, 64, 1]",L2,0.001,85.72536850271528,83.21678321678321
"[33, 64, 32, 1]",L2,0.001,85.80294802172227,82.98368298368298
"[33, 64, 64, 1]",L2,0.001,86.26842513576416,83.91608391608392
"[33, 128, 256, 1]",L2,0.001,92.24204809930178,85.3146853146853
"[33, 256, 128, 1]",L2,0.001,92.6299456943367,85.08158508158508
"[33, 128, 128, 1]",L2,0.001,90.92319627618308,85.78088578088578
"[33, 32, 32, 1]",L2,0.1,85.72536850271528,82.05128205128204
"[33, 32, 64, 1]",L2,0.1,85.72536850271528,83.21678321678321
"[33, 64, 32, 1]",L2,0.1,85.64778898370831,82.75058275058275
"[33, 64, 64, 1]",L2,0.1,86.26842513576416,83.91608391608392
"[33, 128, 256, 1]",L2,0.1,92.1644685802948,85.3146853146853
"[33, 256, 128, 1]",L2,0.1,92.6299456943367,85.08158508158508
"[33, 128, 128, 1]",L2,0.1,90.8456167571761,86.01398601398601
"[33, 32, 32, 1]",L2,0.5,86.03568657874321,82.28438228438229
"[33, 32, 64, 1]",L2,0.5,85.80294802172227,82.98368298368298
"[33, 64, 32, 1]",L2,0.5,85.57020946470132,83.21678321678321
"[33, 64, 64, 1]",L2,0.5,86.26842513576416,83.91608391608392
"[33, 128, 256, 1]",L2,0.5,92.1644685802948,85.3146853146853
"[33, 256, 128, 1]",L2,0.5,92.47478665632272,85.08158508158508
"[33, 128, 128, 1]",L2,0.5,90.76803723816911,85.54778554778555
"[33, 32, 32, 1]",L2,1,85.95810705973624,82.05128205128204
"[33, 32, 64, 1]",L2,1,85.80294802172227,82.98368298368298
"[33, 64, 32, 1]",L2,1,85.57020946470132,82.98368298368298
"[33, 64, 64, 1]",L2,1,86.26842513576416,83.91608391608392
"[33, 128, 256, 1]",L2,1,92.00930954228083,85.54778554778555
"[33, 256, 128, 1]",L2,1,92.39720713731575,85.08158508158508
"[33, 128, 128, 1]",L2,1,90.45771916214119,85.54778554778555
"[33, 32, 64, 1]",none,none,85.72536850271528,83.21678321678321
"[33, 32, 32, 1]",L1,0.001,85.72536850271528,82.51748251748252
"[33, 32, 64, 1]",L1,0.001,85.72536850271528,83.21678321678321
