modello,reg,lambda,tr acc,val acc
"[33, 64, 64, 1]",none,,83.0876648564779,75.5813953488372
"[33, 64, 64, 1]",L1,0.5,83.24282389449186,76.04651162790698
"[33, 64, 64, 1]",L1,1,82.622187742436,77.67441860465117
"[33, 64, 64, 1]",L2,0.1,83.32040341349884,76.27906976744187
"[33, 64, 64, 1]",L2,0.5,83.4755624515128,75.34883720930232
"[33, 64, 64, 1]",L2,4.5,81.7688130333592,77.44186046511628
"[33, 128, 64, 1]",none,,86.26842513576416,75.5813953488372
"[33, 128, 64, 1]",L1,0.5,86.42358417377812,78.13953488372093
"[33, 128, 64, 1]",L1,1,83.78588052754074,77.67441860465117
"[33, 128, 64, 1]",L2,0.1,86.50116369278511,78.83720930232559
"[33, 128, 64, 1]",L2,0.5,87.43211792086889,75.34883720930232
"[33, 128, 64, 1]",L2,4.5,85.33747090768037,82.09302325581396
"[33, 128, 128, 1]",none,,89.75950349107835,80.0
"[33, 128, 128, 1]",L1,0.5,86.65632273079908,81.3953488372093
"[33, 128, 128, 1]",L1,1,84.09619860356867,80.46511627906978
"[33, 128, 128, 1]",L2,0.1,89.29402637703646,80.0
"[33, 128, 128, 1]",L2,0.5,86.966640806827,75.5813953488372
"[33, 128, 128, 1]",L2,4.5,85.80294802172227,83.48837209302326
"[33, 256, 128, 1]",none,,94.95733126454617,81.3953488372093
"[33, 256, 128, 1]",L1,0.5,90.69045771916214,83.25581395348837
"[33, 256, 128, 1]",L1,1,86.88906128782001,82.7906976744186
"[33, 256, 128, 1]",L2,0.1,94.25911559348333,79.76744186046511
"[33, 256, 128, 1]",L2,0.5,94.25911559348333,82.32558139534883
"[33, 256, 128, 1]",L2,4.5,89.91466252909231,83.95348837209302
"[33, 256, 256, 1]",none,,95.57796741660202,78.37209302325581
"[33, 256, 256, 1]",L1,0.5,91.15593483320403,79.76744186046511
"[33, 256, 256, 1]",L1,1,88.05275407292474,83.48837209302326
"[33, 256, 256, 1]",L2,0.1,94.41427463149729,78.6046511627907
"[33, 256, 256, 1]",L2,0.5,95.73312645461598,80.0
"[33, 256, 256, 1]",L2,4.5,89.91466252909231,86.04651162790698
