modello,reg,lambda,tr acc,val acc
"[33, 32, 32, 1]",none,none,78.51047323506594,77.90697674418605
"[33, 32, 32, 1]",L1,0.5,79.75174553917765,78.6046511627907
"[33, 32, 32, 1]",L1,1,80.06206361520557,78.37209302325581
"[33, 32, 32, 1]",L2,0.1,78.66563227307991,78.13953488372093
"[33, 32, 32, 1]",L2,0.5,79.20868890612877,78.13953488372093
"[33, 32, 32, 1]",L2,4.5,81.45849495733127,80.0
"[33, 64, 32, 1]",none,none,83.0876648564779,79.53488372093022
"[33, 64, 32, 1]",L1,0.5,82.31186966640807,79.76744186046511
"[33, 64, 32, 1]",L1,1,80.8378588052754,79.76744186046511
"[33, 64, 32, 1]",L2,0.1,83.0876648564779,79.53488372093022
"[33, 64, 32, 1]",L2,0.5,82.93250581846394,80.23255813953489
"[33, 64, 32, 1]",L2,4.5,83.39798293250583,80.69767441860465
"[33, 64, 64, 1]",none,none,84.71683475562452,78.37209302325581
"[33, 64, 64, 1]",L1,0.5,83.70830100853375,79.06976744186046
"[33, 64, 64, 1]",L1,1,82.23429014740108,79.30232558139535
"[33, 64, 64, 1]",L2,0.1,84.56167571761056,78.6046511627907
"[33, 64, 64, 1]",L2,0.5,84.63925523661753,79.30232558139535
"[33, 64, 64, 1]",L2,4.5,83.63072148952676,82.09302325581396
"[33, 128, 64, 1]",none,none,84.17377812257564,81.86046511627907
"[33, 128, 64, 1]",L1,0.5,84.48409619860357,82.09302325581396
"[33, 128, 64, 1]",L1,1,82.54460822342902,82.32558139534883
"[33, 128, 64, 1]",L2,0.1,84.17377812257564,82.09302325581396
"[33, 128, 64, 1]",L2,0.5,84.17377812257564,82.32558139534883
"[33, 128, 64, 1]",L2,4.5,84.40651667959659,83.95348837209302
"[33, 128, 128, 1]",none,none,85.64778898370831,80.0
"[33, 128, 128, 1]",L1,0.5,83.9410395655547,82.32558139534883
"[33, 128, 128, 1]",L1,1,82.38944918541506,81.86046511627907
"[33, 128, 128, 1]",L2,0.1,85.64778898370831,80.46511627906978
"[33, 128, 128, 1]",L2,0.5,85.64778898370831,80.69767441860465
"[33, 128, 128, 1]",L2,4.5,85.10473235065943,82.55813953488372
"[33, 256, 128, 1]",none,none,86.81148176881304,83.72093023255815
"[33, 256, 128, 1]",L1,0.5,85.80294802172227,82.55813953488372
"[33, 256, 128, 1]",L1,1,84.17377812257564,83.02325581395348
"[33, 256, 128, 1]",L2,0.1,86.73390224980605,83.72093023255815
"[33, 256, 128, 1]",L2,0.5,86.50116369278511,83.72093023255815
"[33, 256, 128, 1]",L2,4.5,85.41505042668736,83.25581395348837
"[33, 256, 256, 1]",none,none,88.75096974398758,82.55813953488372
"[33, 256, 256, 1]",L1,0.5,85.88052754072925,84.88372093023256
"[33, 256, 256, 1]",L1,1,83.39798293250583,84.18604651162791
"[33, 256, 256, 1]",L2,0.1,88.67339022498061,83.02325581395348
"[33, 256, 256, 1]",L2,0.5,88.67339022498061,83.48837209302326
"[33, 256, 256, 1]",L2,4.5,86.19084561675717,84.65116279069768
