modello,reg,lambda,tr acc,val acc
"[24, 64, 64, 1]",none,,85.77822215873923,85.38780174260819
"[24, 64, 64, 1]",L1,0.001,86.08770175689187,85.47350378517355
"[24, 64, 64, 1]",L1,0.005,86.22101604532686,85.83059562919583
"[24, 64, 64, 1]",L2,0.01,86.10674665523973,85.94486501928296
"[24, 64, 64, 1]",L2,0.1,86.17340379945722,85.84487930295673
"[24, 64, 64, 1]",L2,0.5,86.0829405323049,85.77346093415227
"[24, 128, 64, 1]",none,,86.49716707137077,85.35923439508642
"[24, 128, 64, 1]",L1,0.001,86.81140789411037,85.48778745893443
"[24, 128, 64, 1]",L1,0.005,84.48316907108509,83.88801599771462
"[24, 128, 64, 1]",L2,0.01,86.74951197447983,85.0592772461077
"[24, 128, 64, 1]",L2,0.1,86.77807932200162,85.65919154406514
"[24, 128, 64, 1]",L2,0.5,86.19720992239203,86.14483645193543
"[24, 128, 128, 1]",none,,85.29257725086893,83.34523639480075
"[24, 128, 128, 1]",L1,0.001,86.98281197924106,85.3735180688473
"[24, 128, 128, 1]",L1,0.005,86.335285435414,84.98785887730324
"[24, 128, 128, 1]",L2,0.01,82.54058943960386,80.43136694757892
"[24, 128, 128, 1]",L2,0.1,86.21149359615293,84.73075274960719
"[24, 128, 128, 1]",L2,0.5,86.10198543065276,85.83059562919583
"[24, 256, 128, 1]",none,,87.14469361519784,85.15926296243393
"[24, 256, 128, 1]",L1,0.001,87.11136504308908,85.33066704756463
"[24, 256, 128, 1]",L1,0.005,87.25896300528497,85.13069561491216
"[24, 256, 128, 1]",L2,0.01,87.39227729371994,84.98785887730324
"[24, 256, 128, 1]",L2,0.1,87.57320382802457,85.34495072132553
"[24, 256, 128, 1]",L2,0.5,86.45907727467504,86.11626910441366
"[24, 256, 256, 1]",none,,87.15421606437175,84.34509355806313
"[24, 256, 256, 1]",L1,0.001,82.45012617245155,81.83116697614626
"[24, 256, 256, 1]",L1,0.005,88.22073037185164,84.7164690758463
"[24, 256, 256, 1]",L2,0.01,80.75989144407941,76.80331381231252
"[24, 256, 256, 1]",L2,0.1,88.11598343093844,85.30209970004286
"[24, 256, 256, 1]",L2,0.5,86.4400323763272,85.93058134552207
