modello,reg,lambda,tr acc,val acc
"[24, 64, 64, 1]",none,,86.40670380421844,85.38780174260819
"[24, 64, 64, 1]",L1,0.001,86.40670380421844,85.41636909012999
"[24, 64, 64, 1]",L1,0.005,86.45431605008808,85.5592058277389
"[24, 64, 64, 1]",L2,0.01,86.39718135504452,85.47350378517355
"[24, 64, 64, 1]",L2,0.1,86.32576298624006,85.80202828167404
"[24, 64, 64, 1]",L2,0.5,85.2163976574775,85.40208541636909
"[24, 128, 64, 1]",none,,86.44955482550112,85.81631195543494
"[24, 128, 64, 1]",L1,0.001,86.56382421558824,85.7306099128696
"[24, 128, 64, 1]",L1,0.005,86.7542731990668,85.43065276389086
"[24, 128, 64, 1]",L2,0.01,86.65904870732753,85.90201399800029
"[24, 128, 64, 1]",L2,0.1,86.51621196971861,85.68775889158692
"[24, 128, 64, 1]",L2,0.5,85.30686092462982,85.34495072132553
"[24, 128, 128, 1]",none,,86.67809360567537,85.3735180688473
"[24, 128, 128, 1]",L1,0.001,86.66857115650146,85.3735180688473
"[24, 128, 128, 1]",L1,0.005,86.72570585154502,85.5306384802171
"[24, 128, 128, 1]",L2,0.01,86.67809360567537,85.40208541636909
"[24, 128, 128, 1]",L2,0.1,86.60191401228397,85.91629767176117
"[24, 128, 128, 1]",L2,0.5,85.48778745893443,85.41636909012999
"[24, 256, 128, 1]",none,,87.27324667904584,85.34495072132553
"[24, 256, 128, 1]",L1,0.001,87.37323239537209,85.20211398371661
"[24, 256, 128, 1]",L1,0.005,87.26372422987193,85.64490787030424
"[24, 256, 128, 1]",L2,0.01,87.16373851354568,85.34495072132553
"[24, 256, 128, 1]",L2,0.1,86.94472218254535,85.81631195543494
"[24, 256, 128, 1]",L2,0.5,85.84011807836976,85.84487930295673
"[24, 256, 256, 1]",none,,87.7255630148074,85.40208541636909
"[24, 256, 256, 1]",L1,0.001,87.66366709517688,85.3735180688473
"[24, 256, 256, 1]",L1,0.005,87.50178545922012,85.77346093415227
"[24, 256, 256, 1]",L2,0.01,87.53511403132886,85.75917726039137
"[24, 256, 256, 1]",L2,0.1,87.18754463648051,85.90201399800029
"[24, 256, 256, 1]",L2,0.5,85.83059562919583,85.94486501928296
