modello,reg,lambda,tr acc,val acc
"[8, 32, 32, 1]",none,none,80.99938309685379,80.88847755668672
"[8, 32, 32, 1]",L1,0.001,81.04565083281925,80.98102730217492
"[8, 32, 32, 1]",L1,0.005,80.89142504626774,80.84220268394262
"[8, 32, 32, 1]",L2,0.01,80.90684762492289,80.84220268394262
"[8, 32, 32, 1]",L2,0.1,80.56755089450957,80.33317908375753
"[8, 32, 32, 1]",L2,0.5,78.06909315237507,79.03748264692271
"[8, 64, 32, 1]",none,none,87.16841455891425,85.8861638130495
"[8, 64, 32, 1]",L1,0.001,87.19925971622456,85.9787135585377
"[8, 64, 32, 1]",L1,0.005,87.12214682294879,85.93243868579361
"[8, 64, 32, 1]",L2,0.01,87.13756940160395,85.83988894030541
"[8, 64, 32, 1]",L2,0.1,86.5206662553979,85.51596483109671
"[8, 64, 32, 1]",L2,0.5,83.40530536705737,83.24849606663581
"[8, 64, 64, 1]",none,none,88.10919185687847,87.32068486811662
"[8, 64, 64, 1]",L1,0.001,88.09376927822332,87.22813512262842
"[8, 64, 64, 1]",L1,0.005,88.01665638494757,86.85793614067562
"[8, 64, 64, 1]",L2,0.01,88.23257248611968,86.81166126793151
"[8, 64, 64, 1]",L2,0.1,87.75447254781,86.30263766774642
"[8, 64, 64, 1]",L2,0.5,85.7649599012955,85.00694123091162
"[8, 128, 64, 1]",none,none,91.8877236273905,90.9763998149005
"[8, 128, 64, 1]",L1,0.001,91.87230104873535,90.8838500694123
"[8, 128, 64, 1]",L1,0.005,91.81061073411473,90.93012494215641
"[8, 128, 64, 1]",L2,0.01,91.81061073411473,90.93012494215641
"[8, 128, 64, 1]",L2,0.1,91.4096236890808,90.74502545118001
"[8, 128, 64, 1]",L2,0.5,88.91116594694633,89.63442850532161
"[8, 128, 128, 1]",none,none,93.39913633559532,91.3928736695974
"[8, 128, 128, 1]",L1,0.001,93.3374460209747,91.3465987968533
"[8, 128, 128, 1]",L1,0.005,93.24491054904381,91.2540490513651
"[8, 128, 128, 1]",L2,0.01,93.38371375694015,91.3928736695974
"[8, 128, 128, 1]",L2,0.1,93.04441702652684,91.2540490513651
"[8, 128, 128, 1]",L2,0.5,90.66933991363356,90.00462748727442
"[8, 256, 128, 1]",none,none,94.67921036397286,93.6140675613142
"[8, 256, 128, 1]",L1,0.001,94.83343615052436,93.7528921795465
"[8, 256, 128, 1]",L1,0.005,94.67921036397286,93.66034243405831
"[8, 256, 128, 1]",L2,0.01,94.61752004935225,93.70661730680241
"[8, 256, 128, 1]",L2,0.1,94.49413942011104,93.6140675613142
"[8, 256, 128, 1]",L2,0.5,92.19617520049353,91.4854234150856
"[8, 256, 256, 1]",none,none,95.49660703269586,92.9199444701527
"[8, 256, 256, 1]",L1,0.001,95.57371992597162,93.01249421564091
"[8, 256, 256, 1]",L1,0.005,95.52745219000617,92.9662193428968
"[8, 256, 256, 1]",L2,0.01,95.46576187538557,92.87366959740861
"[8, 256, 256, 1]",L2,0.1,95.12646514497224,92.73484497917632
"[8, 256, 256, 1]",L2,0.5,92.67427513880321,91.80934752429431
