modello,reg,lambda,tr acc,val acc
"[8, 32, 32, 1]",none,none,78.25416409623689,77.46413697362333
"[8, 32, 32, 1]",L1,0.001,78.23874151758174,77.46413697362333
"[8, 32, 32, 1]",L1,0.005,78.14620604565083,77.32531235539102
"[8, 32, 32, 1]",L2,0.01,78.20789636027143,77.46413697362333
"[8, 32, 32, 1]",L2,0.1,77.97655768044417,77.37158722813511
"[8, 32, 32, 1]",L2,0.5,75.20049352251696,75.01156871818603
"[8, 64, 32, 1]",none,none,84.71622455274522,83.94261915779731
"[8, 64, 32, 1]",L1,0.001,84.70080197409007,83.94261915779731
"[8, 64, 32, 1]",L1,0.005,84.68537939543491,84.03516890328552
"[8, 64, 32, 1]",L2,0.01,84.66995681677977,84.03516890328552
"[8, 64, 32, 1]",L2,0.1,84.29981492905614,83.7112447940768
"[8, 64, 32, 1]",L2,0.5,81.38494756323257,81.86024988431282
"[8, 64, 64, 1]",none,none,85.11721159777915,85.19204072188802
"[8, 64, 64, 1]",L1,0.001,85.0400987045034,85.09949097639982
"[8, 64, 64, 1]",L1,0.005,84.97840838988279,85.09949097639982
"[8, 64, 64, 1]",L2,0.01,85.00925354719308,85.05321610365571
"[8, 64, 64, 1]",L2,0.1,84.57742134484886,84.72929199444702
"[8, 64, 64, 1]",L2,0.5,81.47748303516347,81.90652475705691
"[8, 128, 64, 1]",none,none,90.82356570018507,89.63442850532161
"[8, 128, 64, 1]",L1,0.001,90.79272054287478,89.5881536325775
"[8, 128, 64, 1]",L1,0.005,90.79272054287478,89.5881536325775
"[8, 128, 64, 1]",L2,0.01,90.76187538556447,89.63442850532161
"[8, 128, 64, 1]",L2,0.1,90.63849475632327,89.3105043961129
"[8, 128, 64, 1]",L2,0.5,87.61566933991364,86.34891254049052
"[8, 128, 128, 1]",none,none,92.31955582973474,91.06894956038872
"[8, 128, 128, 1]",L1,0.001,92.27328809376928,91.02267468764461
"[8, 128, 128, 1]",L1,0.005,92.14990746452807,90.9763998149005
"[8, 128, 128, 1]",L2,0.01,92.25786551511412,91.06894956038872
"[8, 128, 128, 1]",L2,0.1,91.65638494756323,90.8838500694123
"[8, 128, 128, 1]",L2,0.5,88.10919185687847,88.10735770476632
"[8, 256, 128, 1]",none,none,92.95188155459593,91.4854234150856
"[8, 256, 128, 1]",L1,0.001,92.96730413325108,91.4854234150856
"[8, 256, 128, 1]",L1,0.005,92.84392350400988,91.43914854234151
"[8, 256, 128, 1]",L2,0.01,92.89019123997532,91.53169828782971
"[8, 256, 128, 1]",L2,0.1,92.50462677359654,91.3465987968533
"[8, 256, 128, 1]",L2,0.5,89.15792720542875,88.2461823229986
"[8, 256, 256, 1]",none,none,94.86428130783467,93.19759370661731
"[8, 256, 256, 1]",L1,0.001,94.86428130783467,93.19759370661731
"[8, 256, 256, 1]",L1,0.005,94.83343615052436,93.10504396112911
"[8, 256, 256, 1]",L2,0.01,94.80259099321407,93.10504396112911
"[8, 256, 256, 1]",L2,0.1,94.46329426280074,92.50347061545581
"[8, 256, 256, 1]",L2,0.5,91.8877236273905,90.60620083294772
